Unnamed: 0,score,params,iteration,recall,accuracy,triggered,spontaneous
1655,0.9722049299642026,"{'attractor_size': 64, 'background_activity': 13.26573393327683, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.090505193632389, 'e_i_weight': 4.556143567919939, 'i_e_weight': 5.447887283022811, 'i_frequency': 10.48036393178424, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1655,0.9487989987653133,0.9967948717948718,311,1
1105,0.9724143046725213,"{'attractor_size': 64, 'background_activity': 13.93545708015909, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.184332260071837, 'e_i_weight': 5.020216616880912, 'i_e_weight': 5.000264166256092, 'i_frequency': 10.038596087627466, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1105,0.9496013309346324,0.9963503649635036,273,1
1592,0.9718367181403563,"{'attractor_size': 64, 'background_activity': 12.359794185394971, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 7.34011448781596, 'e_i_weight': 5.135140139542015, 'i_e_weight': 5.239386782247616, 'i_frequency': 11.044594115162964, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1592,0.9477685931705645,0.9971590909090908,351,1
996,0.9736228597105114,"{'attractor_size': 64, 'background_activity': 13.475376539231625, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.227785075587219, 'e_i_weight': 4.293895910340151, 'i_e_weight': 6.5628763545265985, 'i_frequency': 10.061798973806074, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",996,0.9550727760208881,0.9929078014184396,280,2
822,0.973453968727295,"{'attractor_size': 64, 'background_activity': 14.646026347555678, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.01317766179422, 'e_i_weight': 3.9131287495533544, 'i_e_weight': 5.588487306096151, 'i_frequency': 10.071758160463542, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",822,0.9546561011829121,0.993006993006993,284,2
1043,0.9711153353278508,"{'attractor_size': 64, 'background_activity': 14.5027837126022, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.57603038645653, 'e_i_weight': 4.991989015104112, 'i_e_weight': 5.382637771052902, 'i_frequency': 10.015088571190589, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1043,0.9464267880245434,0.9971264367816092,347,1
1894,0.9710626282349751,"{'attractor_size': 64, 'background_activity': 15.189258461170027, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.489603904268987, 'e_i_weight': 3.996091809550163, 'i_e_weight': 5.299218832328758, 'i_frequency': 10.009349636967235, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1894,0.9469332234776424,0.99645390070922,281,1
1034,0.9706529684926735,"{'attractor_size': 64, 'background_activity': 13.535793628037418, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.108492606934425, 'e_i_weight': 4.483293281532457, 'i_e_weight': 5.453517631035663, 'i_frequency': 10.031000887332402, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1034,0.945657208013768,0.997005988023952,333,1
1958,0.972902380389858,"{'attractor_size': 64, 'background_activity': 14.994706353309226, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.091041161154005, 'e_i_weight': 4.083201714871419, 'i_e_weight': 5.008359592892869, 'i_frequency': 10.033276444747196, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1958,0.954585934246384,0.9919354838709676,369,3
1180,0.96983391294585,"{'attractor_size': 64, 'background_activity': 15.795455999400367, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.470260689862933, 'e_i_weight': 4.461755606204623, 'i_e_weight': 5.987031257056925, 'i_frequency': 10.007932775013854, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1180,0.9444281782360844,0.9966442953020134,297,1
1613,0.9674900950994345,"{'attractor_size': 64, 'background_activity': 14.805311662348132, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.489227621573717, 'e_i_weight': 4.6263110601108455, 'i_e_weight': 5.028346698528947, 'i_frequency': 11.86478814206429, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1613,0.9370274226982911,1.0,316,0
1746,0.9731280881445976,"{'attractor_size': 64, 'background_activity': 13.792887155839358, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 6.207034710438124, 'e_i_weight': 4.5787865114718, 'i_e_weight': 5.6605750476997, 'i_frequency': 10.015386101676006, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1746,0.9573484543771519,0.98943661971831,281,3
1124,0.9671900250050278,"{'attractor_size': 64, 'background_activity': 13.6101744787293, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.601150574621933, 'e_i_weight': 4.530746316441112, 'i_e_weight': 6.651922916651361, 'i_frequency': 10.010820392556631, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1124,0.9364646434691302,1.0,281,0
1129,0.9670333024746853,"{'attractor_size': 64, 'background_activity': 14.011407493415822, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.244524393240724, 'e_i_weight': 4.214289764106746, 'i_e_weight': 5.456594206433111, 'i_frequency': 11.057349077960602, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1129,0.9361708415105864,1.0,338,0
