,score,params,iteration,recall,accuracy,triggered,spontaneous
1024,1.345273020930944,"{'attractor_size': 64, 'background_activity': 15.61840145158703, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.76651016620152, 'e_i_weight': 4.194353507996874, 'i_e_weight': 5.426857412903464, 'i_frequency': 10.009640403098436, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1024,2.0874496192732197,0.9924242424242424,262,2
1952,1.3452588782984543,"{'attractor_size': 64, 'background_activity': 14.753613044240044, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.846567578374392, 'e_i_weight': 4.140447141401991, 'i_e_weight': 5.508788915426639, 'i_frequency': 10.581698590340599, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1952,2.054642413176045,1.0,324,0
1432,1.3449926707757291,"{'attractor_size': 64, 'background_activity': 14.227604837310363, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.749239037839642, 'e_i_weight': 4.266946839310021, 'i_e_weight': 5.523626816173755, 'i_frequency': 10.007912464614217, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1432,2.0784323554424082,0.9941690962099126,341,2
1297,1.3448088776472495,"{'attractor_size': 64, 'background_activity': 13.560797724446266, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.907238586842638, 'e_i_weight': 4.649187560708567, 'i_e_weight': 5.340219702682779, 'i_frequency': 10.886088266087521, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1297,2.0525444130227597,1.0,305,0
1655,1.3443371571995208,"{'attractor_size': 64, 'background_activity': 13.26573393327683, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.090505193632389, 'e_i_weight': 4.556143567919939, 'i_e_weight': 5.447887283022811, 'i_frequency': 10.48036393178424, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1655,2.0639554040288055,0.9967948717948718,311,1
1105,1.3443026372136504,"{'attractor_size': 64, 'background_activity': 13.93545708015909, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.184332260071837, 'e_i_weight': 5.020216616880912, 'i_e_weight': 5.000264166256092, 'i_frequency': 10.038596087627466, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1105,2.0657007450534555,0.9963503649635036,273,1
1592,1.3441923042331807,"{'attractor_size': 64, 'background_activity': 12.359794185394971, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 7.34011448781596, 'e_i_weight': 5.135140139542015, 'i_e_weight': 5.239386782247616, 'i_frequency': 11.044594115162964, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1592,2.0617139269631766,0.9971590909090909,351,1
996,1.3436645239677367,"{'attractor_size': 64, 'background_activity': 13.475376539231625, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.227785075587219, 'e_i_weight': 4.293895910340151, 'i_e_weight': 6.5628763545265985, 'i_frequency': 10.061798973806074, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",996,2.0776029695165077,0.9929078014184397,280,2
822,1.3435657036942135,"{'attractor_size': 64, 'background_activity': 14.646026347555678, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.01317766179422, 'e_i_weight': 3.9131287495533544, 'i_e_weight': 5.588487306096151, 'i_frequency': 10.071758160463542, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",822,2.0766965622746345,0.993006993006993,284,2
1043,1.3435416987537592,"{'attractor_size': 64, 'background_activity': 14.5027837126022, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.57603038645653, 'e_i_weight': 4.991989015104112, 'i_e_weight': 5.382637771052902, 'i_frequency': 10.015088571190589, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1043,2.058795051641968,0.9971264367816092,347,1
1894,1.3431653470848348,"{'attractor_size': 64, 'background_activity': 15.189258461170027, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.489603904268987, 'e_i_weight': 3.996091809550163, 'i_e_weight': 5.299218832328758, 'i_frequency': 10.009349636967235, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1894,2.0598967182663803,0.9964539007092199,281,1
1034,1.3430757459057292,"{'attractor_size': 64, 'background_activity': 13.535793628037418, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.108492606934425, 'e_i_weight': 4.483293281532457, 'i_e_weight': 5.453517631035663, 'i_frequency': 10.031000887332402, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1034,2.0571209575249427,0.9970059880239521,333,1
1958,1.3425526645505543,"{'attractor_size': 64, 'background_activity': 14.994706353309226, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.091041161154005, 'e_i_weight': 4.083201714871419, 'i_e_weight': 5.008359592892869, 'i_frequency': 10.033276444747196, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1958,2.0765439257014306,0.9919354838709677,369,3
1180,1.3421774812190763,"{'attractor_size': 64, 'background_activity': 15.795455999400367, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.470260689862933, 'e_i_weight': 4.461755606204623, 'i_e_weight': 5.987031257056925, 'i_frequency': 10.007932775013854, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1180,2.054447406378005,0.9966442953020134,297,1
1613,1.341747616861997,"{'attractor_size': 64, 'background_activity': 14.805311662348132, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.489227621573717, 'e_i_weight': 4.6263110601108455, 'i_e_weight': 5.028346698528947, 'i_frequency': 11.86478814206429, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1613,2.0383482859046467,1.0,316,0
1746,1.341511242857362,"{'attractor_size': 64, 'background_activity': 13.792887155839358, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 6.207034710438124, 'e_i_weight': 4.5787865114718, 'i_e_weight': 5.6605750476997, 'i_frequency': 10.015386101676006, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1746,2.082553331655754,0.9894366197183099,281,3
1124,1.341482282155455,"{'attractor_size': 64, 'background_activity': 13.6101744787293, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.601150574621933, 'e_i_weight': 4.530746316441112, 'i_e_weight': 6.651922916651361, 'i_frequency': 10.010820392556631, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1124,2.037124052707928,1.0,281,0
1129,1.3413436777252905,"{'attractor_size': 64, 'background_activity': 14.011407493415822, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.244524393240724, 'e_i_weight': 4.214289764106746, 'i_e_weight': 5.456594206433111, 'i_frequency': 11.057349077960602, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1129,2.0364849351067926,1.0,338,0
769,1.3411140249570714,"{'attractor_size': 64, 'background_activity': 12.935059375440506, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.432762853024013, 'e_i_weight': 4.850745444378532, 'i_e_weight': 6.532639529017614, 'i_frequency': 10.541217514937136, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",769,2.050439233731198,0.996415770609319,278,1
